prison_name_original,prison_name_group,cat_a,cat_b,cat_c,cat_d,open,male,youth,adult,local,high_security,sex_offender,operator,done,opened,closed,prison_meta_info_source,,,,
Erlestoke,Erlestoke,,,1,,,1,,1,,,,,1,1950,,http://www.justice.gov.uk/contacts/prison-finder/erlestoke,,,,
Everthorpe,Everthorpe,,,1,,,1,,1,,,,,1,1958,,https://en.wikipedia.org/wiki/HM_Prison_Everthorpe,,,,
Exeter,Exeter,,,,,,1,,1,1,,,,1,1850,,https://en.wikipedia.org/wiki/HM_Prison_Exeter,,,,
Featherstone,Featherstone,,,1,,,1,,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Featherstone,,,,
Feltham,Feltham,,,,,,1,1,0,,,,,1,1854,,http://www.justice.gov.uk/contacts/prison-finder/feltham,,,,
Ford,Ford,,,,1,,1,,1,,,,,1,1910,,http://www.justice.gov.uk/contacts/prison-finder/ford,,,,
Forest Bank,Forest Bank,,1,,,,1,,,1,,,Sodexo,1,2000,,http://www.justice.gov.uk/contacts/prison-finder/forest-bank,,,,
Foston Hall,Foston Hall,,,,,,0,1,1,,,,,1,,,http://www.justice.gov.uk/contacts/prison-finder/foston-hall,,,,
Frankland,Frankland,1,1,,,,1,,1,,,,,1,1980,,https://en.wikipedia.org/wiki/HM_Prison_Frankland,,,,
Full Sutton,Full Sutton,1,1,,,,1,,1,,1,,,1,1987,,http://www.justice.gov.uk/contacts/prison-finder/full-sutton,,,,
Garth,Garth,,1,,,,1,,1,,,,,1,1988,,http://www.justice.gov.uk/contacts/prison-finder/garth,,,,
Gartree,Gartree,,1,,,,,,1,,,,,1,1965,,http://www.justice.gov.uk/contacts/prison-finder/gartree,,,,
Glen Parva,Glen Parva,,,,,,1,1,,,,,,,1974,,http://www.justice.gov.uk/contacts/prison-finder/glen-parva,,,,
Gloucester,Gloucester,,1,,,,1,,1,,,,,1,1791,2013,https://en.wikipedia.org/wiki/HM_Prison_Gloucester,,,,
Grendon,Grendon,,1,1,,,1,,1,,,,,1,1962,,http://www.justice.gov.uk/contacts/prison-finder/grendon,,,,
Grendon / Spring Hill,Grendon / Spring Hill,,1,1,1,1,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/spring-hill,,,,
Grendon / Springhill,Grendon / Spring Hill,,1,1,1,1,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/spring-hill,,,,
Grendon/ Spring Hill,Grendon / Spring Hill,,1,1,1,1,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/spring-hill,,,,
Guys Marsh,Guys Marsh,,,1,,,1,,1,,,,,1,1960,,http://www.justice.gov.uk/contacts/prison-finder/guys-marsh,,,,
Haslar,Haslar (IRC),,,,,,,,,,,,,1,1989,,http://www.justice.gov.uk/contacts/prison-finder/haslar-immigration-removal-centre,,,,
Haslar (IRC),Haslar (IRC),,,,,,,,,,,,,1,1989,,http://www.justice.gov.uk/contacts/prison-finder/haslar-immigration-removal-centre,,,,
Hatfield,Hatfield,,,,1,,1,1,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Hatfield,,,,
Hatfield***,Hatfield,,,,1,,1,1,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Hatfield,,,,
Haverigg,Haverigg,,,1,1,,1,,1,,,,,1,1967,,http://www.justice.gov.uk/contacts/prison-finder/haverigg,,,,
Hewell,Hewell,,1,1,1,,,,1,1,,,,1,2008,,http://www.justice.gov.uk/contacts/prison-finder/hewell,,,,
High Down,High Down,,1,,,,1,,1,1,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/high-down,,,,
Highpoint,Highpoint,,,1,,,1,,1,,,,,1,1977,,http://www.justice.gov.uk/contacts/prison-finder/highpoint-south,,,,
Highpoint (North and South),Highpoint (North and South),,,1,,,1,,1,,,,,1,1977,,http://www.justice.gov.uk/contacts/prison-finder/highpoint-south,,,,
Highpoint North & South***,Highpoint (North and South),,,1,,,1,,1,,,,,1,1977,,http://www.justice.gov.uk/contacts/prison-finder/highpoint-south,,,,
Hindley,Hindley,,,1,,,1,1,1,,,,,1,1961,,http://www.justice.gov.uk/contacts/prison-finder/hindley,,,,
Hollesley Bay,Hollesley Bay,,,,1,,1,1,1,,,,,1,1938,,https://www.justice.gov.uk/contacts/prison-finder/hollesley-bay,,,,
Holloway,Holloway,,,,,,0,1,1,,,,,1,1852,,https://en.wikipedia.org/wiki/HM_Prison_Holloway,,,,
Holme House,Holme House,,1,,,,1,1,1,,,,,1,1992,,http://www.justice.gov.uk/contacts/prison-finder/holme-house,,,,
Hull,Hull,,1,,,,1,1,1,1,,,,1,1870,,http://www.justice.gov.uk/contacts/prison-finder/hull,,,,
Humber,Humber,,,1,,,1,,1,,,,,1,1958,,http://www.justice.gov.uk/contacts/prison-finder/everthorpe,,,,
Huntercombe,Huntercombe,,,1,,,1,,1,,,,,1,1946,,http://www.justice.gov.uk/contacts/prison-finder/huntercombe,,,,
Isis,Isis,,,1,,,1,1,1,,,,,1,2010,,http://www.justice.gov.uk/contacts/prison-finder/isis,,,,
Isle of Wight,Isle of Wight,,1,,,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/isle-of-wight,,,,
Isle of Wight***,Isle of Wight,,1,,,,1,,1,,,,,1,?,,http://www.justice.gov.uk/contacts/prison-finder/isle-of-wight,,,,
Kennet,Kennet,,,1,,,1,,,,,,,1,2006,,http://www.justice.gov.uk/contacts/prison-finder/kennet,,,,
Kingston,Kingston,,1,1,,,1,,,,,,,1,1877,2013,https://en.wikipedia.org/wiki/HM_Prison_Kingston,,,,
Kirkham,Kirkham,,,,1,,1,,1,,,,,1,1962,,http://www.justice.gov.uk/contacts/prison-finder/kirkham,,,,
Kirklevington Grange,Kirklevington Grange,,,,1,1,1,1,1,,,,,1,1992,,http://www.justice.gov.uk/contacts/prison-finder/kirklevington-grange,,,,
Lancaster,Lancaster,,,1,,,1,,1,,,,,1,1993,,http://www.justice.gov.uk/contacts/prison-finder/lancaster-farms,,,,
Lancaster Farms,Lancaster Farms,,,1,,,1,,1,,,,,1,1993,,http://www.justice.gov.uk/contacts/prison-finder/lancaster-farms,,,,
Latchmere House,Latchmere House,,,,1,,1,,1,,,,,1,1948,2011,https://en.wikipedia.org/wiki/Latchmere_House,,,,
Leeds,Leeds,,1,,,,1,,1,1,,,,1,1847,,http://www.justice.gov.uk/contacts/prison-finder/leeds,,,,
Leicester,Leicester,,,,,,1,,1,1,,,,1,1825,,http://www.justice.gov.uk/contacts/prison-finder/leicester,,,,
Lewes,Lewes,,,,,,1,,1,1,,,,1,1853,,http://www.justice.gov.uk/contacts/prison-finder/lewes,,,,
Leyhill,Leyhill,,,,1,,1,,1,,,,,1,1980,,https://en.wikipedia.org/wiki/HM_Prison_Leyhill,,,,
