prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,date,source
Lowdham Grange,900,900,930,927,1.03,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Maidstone,565,565,600,586,1.04,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Manchester,965,949,1268,1186,1.25,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Moorland/ Moorland Open,1023,713,746,678,0.95,0.7,2011-01-28,10004C44pop_bull_jan_11.txt
Morton Hall,392,392,392,174,0.44,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Mount,747,747,768,763,1.02,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
New Hall,393,392,446,352,0.9,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
North Sea Camp,318,318,318,313,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Northallerton,147,147,252,180,1.22,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Norwich,625,625,767,746,1.19,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Nottingham,723,723,1060,1021,1.41,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Onley,710,710,710,689,0.97,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Parc,1040,1040,1352,1277,1.23,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Pentonville,914,909,1272,1219,1.34,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Peterborough,840,840,1008,902,1.07,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Portland,607,463,483,392,0.85,0.76,2011-01-28,10004C44pop_bull_jan_11.txt
Preston,453,453,840,759,1.68,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Ranby,970,892,1098,1072,1.2,0.92,2011-01-28,10004C44pop_bull_jan_11.txt
Reading,190,190,293,228,1.2,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Risley,1050,1050,1095,1069,1.02,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Rochester,756,649,649,638,0.98,0.86,2011-01-28,10004C44pop_bull_jan_11.txt
Rye Hill,600,600,625,605,1.01,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Send,282,282,282,277,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Shepton Mallet,165,165,189,188,1.14,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Shrewsbury,184,184,340,330,1.79,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Stafford,741,725,741,729,1.01,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Standford Hill,464,464,464,457,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Stocken,779,779,842,822,1.06,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Stoke Heath,634,634,750,479,0.76,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Styal,461,450,459,434,0.96,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Sudbury,581,581,581,571,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Swaleside,1112,1112,1112,1086,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Swansea,248,240,428,416,1.73,0.97,2011-01-28,10004C44pop_bull_jan_11.txt
Swinfen Hall,604,604,654,631,1.04,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Thorn Cross,322,322,322,286,0.89,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Usk/ Prescoed,335,335,449,426,1.16,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Verne,572,571,606,582,1.02,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Wakefield,749,748,750,743,0.99,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Wandsworth,1107,1107,1665,1635,1.48,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Warren Hill,222,128,128,122,0.95,0.58,2011-01-28,10004C44pop_bull_jan_11.txt
Wayland,957,957,1017,999,1.04,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Wealstun,810,810,832,814,1.0,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Wellingborough,638,514,522,505,0.98,0.81,2011-01-28,10004C44pop_bull_jan_11.txt
Werrington,160,160,160,113,0.71,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Wetherby,408,384,384,325,0.85,0.94,2011-01-28,10004C44pop_bull_jan_11.txt
Whatton,779,776,841,833,1.07,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Whitemoor,473,452,452,440,0.97,0.96,2011-01-28,10004C44pop_bull_jan_11.txt
Winchester,499,499,706,661,1.32,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Wolds,320,320,395,383,1.2,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Woodhill,661,656,819,798,1.22,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Wormwood Scrubs,1176,1176,1281,1269,1.08,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Wymott,1113,1113,1176,1167,1.05,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Acklington,946,946,946,820,0.87,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Altcourse,794,794,1324,1171,1.47,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Ashfield,407,407,360,335,0.82,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Askham Grange,150,126,128,128,1.02,0.84,2011-02-25,10004C6Apop_bull_feb_11.txt
Aylesbury,437,421,444,412,0.98,0.96,2011-02-25,10004C6Apop_bull_feb_11.txt
Bedford,322,322,506,471,1.46,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Belmarsh,800,800,933,866,1.08,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Birmingham,1112,1093,1450,1451,1.33,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Blantyre House,122,122,122,117,0.96,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Blundeston,481,409,454,445,1.09,0.85,2011-02-25,10004C6Apop_bull_feb_11.txt
Brinsford,545,545,577,519,0.95,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Bristol,424,420,606,588,1.4,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Brixton,530,530,798,739,1.39,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Bronzefield,527,527,527,500,0.95,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Buckley Hall,350,350,385,385,1.1,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Bullingdon,879,879,1114,1103,1.25,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Bullwood Hall,220,220,228,228,1.04,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Bure,503,503,523,518,1.03,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Canterbury,195,195,314,306,1.57,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Cardiff,554,554,824,820,1.48,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Castington,407,407,409,273,0.67,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Channings Wood,698,698,731,721,1.03,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Chelmsford,554,554,695,685,1.24,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Coldingley,494,494,513,513,1.04,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Cookham Wood,143,143,143,93,0.65,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Dartmoor,635,493,514,503,1.02,0.78,2011-02-25,10004C6Apop_bull_feb_11.txt
Deerbolt,513,513,513,476,0.93,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Doncaster,713,713,1145,1113,1.56,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Dorchester,146,146,260,234,1.6,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Dovegate,1064,1060,1135,1110,1.05,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Dover,316,316,316,291,0.92,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Downview,359,291,291,281,0.97,0.81,2011-02-25,10004C6Apop_bull_feb_11.txt
Drake Hall,315,315,315,305,0.97,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Durham,606,606,1017,957,1.58,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
East Sutton Park,98,98,100,91,0.93,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Eastwood Park,333,333,363,331,0.99,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Edmunds Hill,389,379,379,371,0.98,0.97,2011-02-25,10004C6Apop_bull_feb_11.txt
Elmley (Sheppey Cluster),943,925,1234,1194,1.29,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Erlestoke,470,370,370,363,0.98,0.79,2011-02-25,10004C6Apop_bull_feb_11.txt
Everthorpe,603,603,689,674,1.12,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Exeter,322,316,545,537,1.7,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Featherstone,671,642,655,650,1.01,0.96,2011-02-25,10004C6Apop_bull_feb_11.txt
Feltham,762,762,762,697,0.91,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Ford,521,469,469,358,0.76,0.9,2011-02-25,10004C6Apop_bull_feb_11.txt
Forest Bank,1064,1064,1424,1367,1.28,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Foston Hall,290,290,304,286,0.99,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Frankland,859,844,844,822,0.97,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Full Sutton,604,596,608,598,1.0,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Garth,812,812,847,843,1.04,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Gartree,677,677,677,656,0.97,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Glen Parva,652,652,808,752,1.15,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Gloucester,225,225,321,289,1.28,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Grendon/ Spring Hill,587,573,573,537,0.94,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Guys Marsh,520,452,509,501,1.11,0.87,2011-02-25,10004C6Apop_bull_feb_11.txt
Haslar,160,160,160,117,0.73,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Haverigg,622,622,644,631,1.01,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Hewell,1173,1173,1431,1395,1.19,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
High Down,999,999,1103,1058,1.06,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Highpoint,920,920,944,939,1.02,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Hindley,506,440,440,314,0.71,0.87,2011-02-25,10004C6Apop_bull_feb_11.txt
Hollesley Bay,365,365,365,353,0.97,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Holloway,540,533,533,494,0.93,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Holme House,1034,1034,1212,973,0.94,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Hull,723,723,1044,950,1.31,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Huntercombe,372,372,372,341,0.92,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Isis,408,408,408,264,0.65,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Isle of Wight***,1563,1550,1686,1669,1.08,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Kennet,175,175,342,336,1.92,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Kingston,199,199,199,195,0.98,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Kirkham,592,592,592,589,0.99,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Kirklevington Grange,283,283,283,273,0.96,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Lancaster,161,161,243,78,0.48,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Lancaster Farms,480,480,530,520,1.08,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Latchmere House,207,207,207,200,0.97,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Leeds,829,776,1088,1056,1.36,0.94,2011-02-25,10004C6Apop_bull_feb_11.txt
Leicester,210,210,392,342,1.63,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Lewes,623,495,507,475,0.96,0.79,2011-02-25,10004C6Apop_bull_feb_11.txt
Leyhill,532,491,491,480,0.98,0.92,2011-02-25,10004C6Apop_bull_feb_11.txt
Lincoln,431,427,729,609,1.43,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Lindholme,1054,1038,1118,1084,1.04,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Littlehey,1143,1143,1206,1174,1.03,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Liverpool,1186,1164,1436,1254,1.08,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Long Lartin,629,622,622,616,0.99,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Low Newton,314,259,282,270,1.04,0.82,2011-02-25,10004C6Apop_bull_feb_11.txt
Lowdham Grange,900,900,930,928,1.03,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Maidstone,565,565,600,593,1.05,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Manchester,965,929,1250,1181,1.27,0.96,2011-02-25,10004C6Apop_bull_feb_11.txt
Moorland/ Moorland Open,1023,713,746,699,0.98,0.7,2011-02-25,10004C6Apop_bull_feb_11.txt
Morton Hall,392,392,392,44,0.11,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Mount,747,747,768,765,1.02,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
New Hall,395,392,446,400,1.02,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
North Sea Camp,318,318,318,308,0.97,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Northallerton,147,147,252,171,1.16,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Norwich,625,625,767,751,1.2,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Nottingham,723,723,1060,1046,1.45,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Onley,710,710,710,704,0.99,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Parc,1170,1170,1470,1396,1.19,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Pentonville,914,909,1272,1248,1.37,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Peterborough,840,840,1008,994,1.18,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Portland,463,463,483,409,0.88,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Preston,453,453,840,782,1.73,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Ranby,970,892,1098,1090,1.22,0.92,2011-02-25,10004C6Apop_bull_feb_11.txt
Reading,190,190,293,221,1.16,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Risley,1050,1050,1095,1087,1.04,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Rochester,756,658,658,646,0.98,0.87,2011-02-25,10004C6Apop_bull_feb_11.txt
Rye Hill,600,600,625,613,1.02,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Send,282,282,282,276,0.98,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Shepton Mallet,165,165,189,188,1.14,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Shrewsbury,184,184,340,329,1.79,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Stafford,741,725,741,733,1.01,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Standford Hill,464,464,464,444,0.96,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Stocken,779,779,842,830,1.07,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Stoke Heath,634,634,750,489,0.77,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Styal,461,450,459,445,0.99,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Sudbury,581,581,581,574,0.99,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Swaleside,1112,1112,1112,1099,0.99,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Swansea,248,240,428,419,1.75,0.97,2011-02-25,10004C6Apop_bull_feb_11.txt
Swinfen Hall,604,604,654,638,1.06,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Thorn Cross,322,322,322,287,0.89,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Usk/ Prescoed,335,335,449,445,1.33,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Verne,572,571,606,590,1.03,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Wakefield,751,749,749,739,0.99,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Wandsworth,1107,1107,1665,1653,1.49,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Warren Hill,222,128,128,123,0.96,0.58,2011-02-25,10004C6Apop_bull_feb_11.txt
Wayland,957,957,1017,1007,1.05,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Wealstun,810,810,832,819,1.01,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Wellingborough,638,514,522,512,1.0,0.81,2011-02-25,10004C6Apop_bull_feb_11.txt
Werrington,160,160,160,145,0.91,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Wetherby,408,384,384,344,0.9,0.94,2011-02-25,10004C6Apop_bull_feb_11.txt
Whatton,779,776,841,835,1.08,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Whitemoor,473,458,458,444,0.97,0.97,2011-02-25,10004C6Apop_bull_feb_11.txt
Winchester,499,488,695,661,1.35,0.98,2011-02-25,10004C6Apop_bull_feb_11.txt
Wolds,320,320,395,365,1.14,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Woodhill,661,656,819,813,1.24,0.99,2011-02-25,10004C6Apop_bull_feb_11.txt
Wormwood Scrubs,1176,1176,1281,1278,1.09,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Wymott,1113,1113,1176,1163,1.04,1.0,2011-02-25,10004C6Apop_bull_feb_11.txt
Altcourse,794,794,1033,1012,1.27,1.0,2013-04-26,monthly-bulletin-april.txt
Ashfield,423,423,360,37,0.09,1.0,2013-04-26,monthly-bulletin-april.txt
Askham Grange,150,126,128,101,0.8,0.84,2013-04-26,monthly-bulletin-april.txt
Aylesbury,411,411,444,411,1.0,1.0,2013-04-26,monthly-bulletin-april.txt
Bedford,322,322,500,442,1.37,1.0,2013-04-26,monthly-bulletin-april.txt
Belmarsh,781,788,813,758,0.96,1.01,2013-04-26,monthly-bulletin-april.txt
Birmingham,1093,1093,1450,1374,1.26,1.0,2013-04-26,monthly-bulletin-april.txt
Blantyre House,122,122,122,119,0.98,1.0,2013-04-26,monthly-bulletin-april.txt
Blundeston,481,481,526,508,1.06,1.0,2013-04-26,monthly-bulletin-april.txt
Brinsford,545,545,577,521,0.96,1.0,2013-04-26,monthly-bulletin-april.txt
Bristol,427,427,614,608,1.42,1.0,2013-04-26,monthly-bulletin-april.txt
Brixton,530,525,798,758,1.44,0.99,2013-04-26,monthly-bulletin-april.txt
Bronzefield,527,527,527,456,0.87,1.0,2013-04-26,monthly-bulletin-april.txt
Buckley Hall,410,410,445,435,1.06,1.0,2013-04-26,monthly-bulletin-april.txt
