prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,date,source
Kennet,175,175,342,329,1.88,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Kirkham,657,657,657,578,0.88,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Kirklevington Grange,283,283,283,250,0.88,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Lancaster Farms,495,495,549,546,1.1,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Leeds,669,669,1212,1138,1.7,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Leicester,214,214,403,327,1.53,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Lewes,617,617,692,644,1.04,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Leyhill,515,515,515,501,0.97,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Lincoln,408,403,729,623,1.55,0.99,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Lindholme,924,916,994,992,1.08,0.99,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Littlehey,1154,1154,1220,1214,1.05,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Liverpool,1173,1101,1386,1093,0.99,0.94,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Long Lartin,625,548,548,533,0.97,0.88,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Low Newton,314,306,344,335,1.09,0.97,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Lowdham Grange,900,900,920,914,1.02,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Maidstone,565,565,600,595,1.05,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Manchester,965,965,1286,1023,1.06,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Moorland,943,943,1006,999,1.06,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Mount,1008,1002,1016,1004,1.0,0.99,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
New Hall,392,371,425,402,1.08,0.95,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
North Sea Camp,420,420,420,352,0.84,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Northumberland,1348,1348,1348,1336,0.99,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Norwich,626,626,775,712,1.14,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Nottingham,723,723,1060,1014,1.4,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Oakwood,1605,1605,1605,1596,0.99,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Onley,742,742,742,721,0.97,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Parc,1557,1557,1723,1653,1.06,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Pentonville,906,906,1316,1286,1.42,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Peterborough (Male & Female),1132,1119,1312,1268,1.13,0.99,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Portland,464,464,500,490,1.06,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Preston,455,455,841,749,1.65,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Ranby,893,832,1038,1012,1.22,0.93,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Risley,1050,1050,1115,1101,1.05,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Rochester,802,754,754,730,0.97,0.94,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Rye Hill,600,600,625,622,1.04,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Send,282,282,282,281,1.0,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Stafford,741,741,751,743,1.0,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Standford Hill (Sheppey),464,464,464,462,1.0,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Stocken,768,668,733,710,1.06,0.87,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Stoke Heath,662,662,782,768,1.16,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Styal,479,470,485,474,1.01,0.98,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Sudbury,581,581,581,522,0.9,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Swaleside (Sheppey),1112,1112,1112,1102,0.99,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Swansea,268,268,500,404,1.51,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
