prison_name_original,prison_name_group,cat_a,cat_b,cat_c,cat_d,open,male,youth,adult,local,high_security,sex_offender,operator,done,opened,source
Lancaster Farms,Lancaster Farms,,,,,,,,,,,,,,,
Latchmere House,Latchmere House,,,,,,,,,,,,,,,
Leeds,Leeds,,,,,,,,,,,,,,,
Leicester,Leicester,,,,,,,,,,,,,,,
Lewes,Lewes,,,,,,,,,,,,,,,
Leyhill,Leyhill,,,,,,,,,,,,,,,
Lincoln,Lincoln,,,,,,,,,,,,,,,
Lindholme,Lindholme (IRC),,,,,,,,,,,,,,,
Lindholme (IRC),Lindholme (IRC),,,,,,,,,,,,,,,
Littlehey,Littlehey,,,,,,,,,,,,,,,
Liverpool,Liverpool,,,,,,,,,,,,,,,
Long Lartin,Long Lartin,,,,,,,,,,,,,,,
Low Newton,Low Newton,,,,,,,,,,,,,,,
Lowdham Grange,Lowdham Grange,,,,,,,,,,,,,,,
Maidstone,Maidstone,,,,,,,,,,,,,,,
Manchester,Manchester,,,,,,,,,,,,,,,
Moorland,Moorland,,,,,,,,,,,,,,,
Moorland***,Moorland,,,,,,,,,,,,,,,
Moorland / Hatfield,Moorland / Hatfield,,,,,,,,,,,,,,,
Moorland/ Moorland Open,Moorland/ Moorland Open,,,,,,,,,,,,,,,
Morton Hall,Morton Hall (IRC),,,,,,,,,,,,,,,
Morton Hall (IRC),Morton Hall (IRC),,,,,,,,,,,,,,,
Morton Hall IRC,Morton Hall (IRC),,,,,,,,,,,,,,,
Mount,Mount,,,,,,,,,,,,,,,
New Hall,New Hall,,,,,,,,,,,,,,,
North Sea Camp,North Sea Camp,,,,,,,,,,,,,,,
Northallerton,Northallerton,,,,,,,,,,,,,,,
Acklington / Castington,Northumberland,,,,,,,,,,,,,,,
Northumberland,Northumberland,,,,,,,,,,,,,,,
Norwich,Norwich,,,,,,,,,,,,,,,
Nottingham,Nottingham,,,,,,,,,,,,,,,
Oakwood,Oakwood,,,,,,,,,,,,,,,
Onley,Onley,,,,,,,,,,,,,,,
Parc,Parc,,,,,,,,,,,,,,,
Pentonville,Pentonville,,,,,,,,,,,,,,,
Peterborough (Female),Peterborough (Female),,,,,,,,,,,,,,,
Peterborough,Peterborough (Male & Female),,,,,,,,,,,,,,,
Peterborough (Male & Female),Peterborough (Male & Female),,,,,,,,,,,,,,,
Peterborough (Male),Peterborough (Male),,,,,,,,,,,,,,,
Portland,Portland,,,,,,,,,,,,,,,
Prescoed,Prescoed,,,,,,,,,,,,,,,
Preston,Preston,,,,,,,,,,,,,,,
Ranby,Ranby,,,,,,,,,,,,,,,
Reading,Reading,,,,,,,,,,,,,,,
Risley,Risley,,,,,,,,,,,,,,,
Rochester,Rochester,,,,,,,,,,,,,,,
Rye Hill,Rye Hill,,,,,,,,,,,,,,,
Send,Send,,,,,,,,,,,,,,,
Sheppey,Sheppey,,,,,,,,,,,,,,,
Shepton Mallet,Shepton Mallet,,,,,,,,,,,,,,,
Shepton Mallet / Erlestoke,Shepton Mallet / Erlestoke,,,,,,,,,,,,,,,
Shrewsbury,Shrewsbury,,,,,,,,,,,,,,,
Spring Hill,Spring Hill,,,,,,,,,,,,,,,
Stafford,Stafford,,,,,,,,,,,,,,,
Standford Hill,Standford Hill (Sheppey),,,,,,,,,,,,,,,
Standford Hill (Sheppey,Standford Hill (Sheppey),,,,,,,,,,,,,,,
Standford Hill (Sheppey),Standford Hill (Sheppey),,,,,,,,,,,,,,,
Stocken,Stocken,,,,,,,,,,,,,,,
Stoke Heath,Stoke Heath,,,,,,,,,,,,,,,
Styal,Styal,,,,,,,,,,,,,,,
Sub Total,Sub Total,,,,,,,,,,,,,,,
Sub total,Sub Total,,,,,,,,,,,,,,,
Sudbury,Sudbury,,,,,,,,,,,,,,,
Swaleside,Swaleside (Sheppey),,,,,,,,,,,,,,,
Swaleside (Sheppey Cluster),Swaleside (Sheppey),,,,,,,,,,,,,,,
Swaleside (Sheppey),Swaleside (Sheppey),,,,,,,,,,,,,,,
Swansea,Swansea,,,,,,,,,,,,,,,
Swinfen Hall,Swinfen Hall,,,,,,,,,,,,,,,
Thameside,Thameside,,,,,,,,,,,,,,,
Thorn Cross,Thorn Cross,,,,,,,,,,,,,,,
Total,Total,,,,,,,,,,,,,,,
Usk,Usk,,,,,,,,,,,,,,,
Usk / Prescoed,Usk / Prescoed,,,,,,,,,,,,,,,
Usk/ Prescoed,Usk / Prescoed,,,,,,,,,,,,,,,
Verne,Verne (IRC),,,,,,,,,,,,,,,
Verne (IRC),Verne (IRC),,,,,,,,,,,,,,,
Wakefield,Wakefield,,,,,,,,,,,,,,,
Wandsworth,Wandsworth,,,,,,,,,,,,,,,
Warren Hill,Warren Hill,,,,,,,,,,,,,,,
Wayland,Wayland,,,,,,,,,,,,,,,
Wealstun,Wealstun,,,,,,,,,,,,,,,
Wellingborough,Wellingborough,,,,,,,,,,,,,,,
Werrington,Werrington,,,,,,,,,,,,,,,
Wetherby,Wetherby,,,,,,,,,,,,,,,
Whatton,Whatton,,,,,,,,,,,,,,,
Whitemoor,Whitemoor,,,,,,,,,,,,,,,
Winchester,Winchester,,,,,,,,,,,,,,,
Wolds,Wolds,,,,,,,,,,,,,,,
Woodhill,Woodhill,,,,,,,,,,,,,,,
Wormwood Scrubs,Wormwood Scrubs,,,,,,,,,,,,,,,
Wymott,Wymott,,,,,,,,,,,,,,,
