prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,month_text,month
Nottingham,723,723,1060,1048,1.45,1.0, February 2015,2015-02-11
Oakwood,1605,1605,1605,1577,0.98,1.0, February 2015,2015-02-11
Onley,742,742,747,739,1.0,1.0, February 2015,2015-02-11
Parc,1182,1182,1486,1469,1.24,1.0, February 2015,2015-02-11
Pentonville,915,915,1316,1319,1.44,1.0, February 2015,2015-02-11
Peterborough (Male & Female),1020,1007,1140,1054,1.05,0.99, February 2015,2015-02-11
Portland,464,464,580,503,1.08,1.0, February 2015,2015-02-11
Preston,456,433,796,669,1.55,0.95, February 2015,2015-02-11
Ranby,893,892,1098,1082,1.21,1.0, February 2015,2015-02-11
Risley,1050,1050,1115,1100,1.05,1.0, February 2015,2015-02-11
Rochester,802,742,754,744,1.0,0.93, February 2015,2015-02-11
Rye Hill,600,600,625,612,1.02,1.0, February 2015,2015-02-11
Send,282,282,282,279,0.99,1.0, February 2015,2015-02-11
Stafford,741,741,751,712,0.96,1.0, February 2015,2015-02-11
Standford Hill (Sheppey),464,464,464,453,0.98,1.0, February 2015,2015-02-11
Stocken,768,768,853,838,1.09,1.0, February 2015,2015-02-11
Stoke Heath,662,662,782,731,1.1,1.0, February 2015,2015-02-11
Styal,480,471,486,444,0.94,0.98, February 2015,2015-02-11
Sudbury,581,581,600,461,0.79,1.0, February 2015,2015-02-11
Swaleside (Sheppey),1112,1112,1112,1096,0.99,1.0, February 2015,2015-02-11
Swansea,250,242,455,414,1.71,0.97, February 2015,2015-02-11
Swinfen Hall,604,544,594,583,1.07,0.9, February 2015,2015-02-11
Thameside,600,600,900,890,1.48,1.0, February 2015,2015-02-11
Thorn Cross,331,331,345,332,1.0,1.0, February 2015,2015-02-11
Usk / Prescoed,378,378,536,500,1.32,1.0, February 2015,2015-02-11
Wakefield,751,731,743,733,1.0,0.97, February 2015,2015-02-11
Wandsworth,963,943,1658,1626,1.72,0.98, February 2015,2015-02-11
Warren Hill,257,212,212,117,0.55,0.82, February 2015,2015-02-11
Wayland,958,909,989,987,1.09,0.95, February 2015,2015-02-11
Wealstun,810,801,824,817,1.02,0.99, February 2015,2015-02-11
Werrington,160,160,160,124,0.78,1.0, February 2015,2015-02-11
Wetherby,396,336,336,292,0.87,0.85, February 2015,2015-02-11
Whatton,775,769,841,842,1.09,0.99, February 2015,2015-02-11
Whitemoor,473,458,458,453,0.99,0.97, February 2015,2015-02-11
Winchester,469,469,690,685,1.46,1.0, February 2015,2015-02-11
Woodhill,660,660,819,720,1.09,1.0, February 2015,2015-02-11
Wormwood Scrubs,1156,1156,1279,1258,1.09,1.0, February 2015,2015-02-11
Wymott,1102,1102,1155,1139,1.03,1.0, February 2015,2015-02-11
Dover (IRC),401,401,401,375,0.94,1.0, February 2015,2015-02-11
Haslar (IRC),197,197,197,173,0.88,1.0, February 2015,2015-02-11
Morton Hall (IRC),392,392,392,328,0.84,1.0, February 2015,2015-02-11
Verne (IRC),570,570,580,547,0.96,1.0, February 2015,2015-02-11
Altcourse,794,794,1033,1031,1.3,1.0, September 2015,2015-09-11
Ashfield,408,408,400,392,0.96,1.0, September 2015,2015-09-11
Askham Grange,150,126,128,95,0.75,0.84, September 2015,2015-09-11
Aylesbury,410,410,444,368,0.9,1.0, September 2015,2015-09-11
Bedford,322,322,506,487,1.51,1.0, September 2015,2015-09-11
Belmarsh,781,781,906,884,1.13,1.0, September 2015,2015-09-11
Birmingham,1093,1093,1450,1449,1.33,1.0, September 2015,2015-09-11
Brinsford,545,423,455,358,0.85,0.78, September 2015,2015-09-11
Bristol,425,407,614,589,1.45,0.96, September 2015,2015-09-11
Brixton,528,528,810,795,1.51,1.0, September 2015,2015-09-11
Bronzefield,527,527,527,507,0.96,1.0, September 2015,2015-09-11
Buckley Hall,409,409,455,452,1.11,1.0, September 2015,2015-09-11
Bullingdon,869,869,1114,1103,1.27,1.0, September 2015,2015-09-11
Bure,604,604,643,634,1.05,1.0, September 2015,2015-09-11
Cardiff,539,539,820,799,1.48,1.0, September 2015,2015-09-11
Channings Wood,698,698,724,707,1.01,1.0, September 2015,2015-09-11
Chelmsford,551,551,745,727,1.32,1.0, September 2015,2015-09-11
Coldingley,493,493,521,518,1.05,1.0, September 2015,2015-09-11
Cookham Wood,188,188,188,168,0.89,1.0, September 2015,2015-09-11
Dartmoor,642,640,640,623,0.97,1.0, September 2015,2015-09-11
Deerbolt,513,513,513,376,0.73,1.0, September 2015,2015-09-11
Doncaster,738,738,1045,1047,1.42,1.0, September 2015,2015-09-11
Dovegate,1064,1060,1133,1097,1.03,1.0, September 2015,2015-09-11
Drake Hall,340,340,340,309,0.91,1.0, September 2015,2015-09-11
Durham,595,595,996,939,1.58,1.0, September 2015,2015-09-11
East Sutton Park,100,100,100,97,0.97,1.0, September 2015,2015-09-11
Eastwood Park,410,315,363,343,1.09,0.77, September 2015,2015-09-11
Elmley (Sheppey),943,943,1175,1166,1.24,1.0, September 2015,2015-09-11
Erlestoke,494,494,524,523,1.06,1.0, September 2015,2015-09-11
Exeter,326,318,561,527,1.66,0.98, September 2015,2015-09-11
Featherstone,671,671,687,676,1.01,1.0, September 2015,2015-09-11
Feltham,762,594,594,480,0.81,0.78, September 2015,2015-09-11
Ford,521,506,524,507,1.0,0.97, September 2015,2015-09-11
Forest Bank,1064,1064,1460,1454,1.37,1.0, September 2015,2015-09-11
Foston Hall,303,303,345,289,0.95,1.0, September 2015,2015-09-11
Frankland,859,844,844,831,0.98,0.98, September 2015,2015-09-11
Full Sutton,604,596,616,591,0.99,0.99, September 2015,2015-09-11
Garth,810,810,845,806,1.0,1.0, September 2015,2015-09-11
Gartree,708,708,708,708,1.0,1.0, September 2015,2015-09-11
Glen Parva,637,541,648,487,0.9,0.85, September 2015,2015-09-11
Grendon / Springhill,586,568,568,534,0.94,0.97, September 2015,2015-09-11
Guys Marsh,518,518,579,566,1.09,1.0, September 2015,2015-09-11
Hatfield,390,310,310,304,0.98,0.79, September 2015,2015-09-11
Haverigg,622,622,654,640,1.03,1.0, September 2015,2015-09-11
Hewell,1018,1018,1279,1263,1.24,1.0, September 2015,2015-09-11
High Down,999,931,1095,1081,1.16,0.93, September 2015,2015-09-11
Highpoint (North and South),1299,1274,1300,1295,1.02,0.98, September 2015,2015-09-11
Hindley,524,510,558,465,0.91,0.97, September 2015,2015-09-11
Hollesley Bay,437,387,387,376,0.97,0.89, September 2015,2015-09-11
Holloway,540,533,591,516,0.97,0.99, September 2015,2015-09-11
Holme House,1036,1036,1210,1202,1.16,1.0, September 2015,2015-09-11
Hull,723,723,1044,1020,1.41,1.0, September 2015,2015-09-11
Humber,947,947,1046,1012,1.07,1.0, September 2015,2015-09-11
Huntercombe,370,307,430,422,1.37,0.83, September 2015,2015-09-11
Isis,478,478,622,613,1.28,1.0, September 2015,2015-09-11
Isle of Wight,1070,978,1097,1041,1.06,0.91, September 2015,2015-09-11
Kennet,175,175,342,312,1.78,1.0, September 2015,2015-09-11
Kirkham,657,657,657,617,0.94,1.0, September 2015,2015-09-11
Kirklevington Grange,283,283,283,265,0.94,1.0, September 2015,2015-09-11
Lancaster Farms,495,495,549,535,1.08,1.0, September 2015,2015-09-11
Leeds,669,669,1212,1176,1.76,1.0, September 2015,2015-09-11
Leicester,214,214,411,320,1.5,1.0, September 2015,2015-09-11
Lewes,617,617,692,660,1.07,1.0, September 2015,2015-09-11
Leyhill,515,515,515,509,0.99,1.0, September 2015,2015-09-11
Lincoln,408,403,729,636,1.58,0.99, September 2015,2015-09-11
Lindholme,924,916,1002,998,1.09,0.99, September 2015,2015-09-11
Littlehey,1154,1153,1219,1219,1.06,1.0, September 2015,2015-09-11
Liverpool,1173,1101,1386,1157,1.05,0.94, September 2015,2015-09-11
Long Lartin,625,625,625,603,0.96,1.0, September 2015,2015-09-11
Low Newton,314,306,344,284,0.93,0.97, September 2015,2015-09-11
Lowdham Grange,900,900,920,914,1.02,1.0, September 2015,2015-09-11
Maidstone,565,565,600,589,1.04,1.0, September 2015,2015-09-11
Manchester,965,965,1286,953,0.99,1.0, September 2015,2015-09-11
Moorland,943,943,1006,996,1.06,1.0, September 2015,2015-09-11
Mount,1008,1008,1028,1020,1.01,1.0, September 2015,2015-09-11
New Hall,392,371,425,365,0.98,0.95, September 2015,2015-09-11
North Sea Camp,420,420,420,319,0.76,1.0, September 2015,2015-09-11
Northumberland,1348,1348,1348,1293,0.96,1.0, September 2015,2015-09-11
Norwich,626,626,775,745,1.19,1.0, September 2015,2015-09-11
Nottingham,723,723,1060,1044,1.44,1.0, September 2015,2015-09-11
Oakwood,1605,1605,1605,1591,0.99,1.0, September 2015,2015-09-11
Onley,742,742,742,741,1.0,1.0, September 2015,2015-09-11
Parc,1557,1557,1723,1655,1.06,1.0, September 2015,2015-09-11
Pentonville,915,915,1310,1329,1.45,1.0, September 2015,2015-09-11
Peterborough (Male & Female),1132,1119,1252,1211,1.08,0.99, September 2015,2015-09-11
Portland,464,464,531,506,1.09,1.0, September 2015,2015-09-11
Preston,455,455,841,698,1.53,1.0, September 2015,2015-09-11
Ranby,893,892,1098,1048,1.17,1.0, September 2015,2015-09-11
Risley,1050,1050,1115,1107,1.05,1.0, September 2015,2015-09-11
Rochester,802,738,743,734,0.99,0.92, September 2015,2015-09-11
Rye Hill,600,600,625,618,1.03,1.0, September 2015,2015-09-11
Send,282,282,282,279,0.99,1.0, September 2015,2015-09-11
Stafford,741,741,751,741,1.0,1.0, September 2015,2015-09-11
Standford Hill (Sheppey),464,464,464,455,0.98,1.0, September 2015,2015-09-11
Stocken,768,648,713,699,1.08,0.84, September 2015,2015-09-11
Stoke Heath,662,662,782,757,1.14,1.0, September 2015,2015-09-11
Styal,479,470,485,446,0.95,0.98, September 2015,2015-09-11
Sudbury,581,581,581,404,0.7,1.0, September 2015,2015-09-11
Swaleside (Sheppey),1112,1112,1112,1102,0.99,1.0, September 2015,2015-09-11
Swansea,271,271,504,449,1.66,1.0, September 2015,2015-09-11
Swinfen Hall,604,604,624,579,0.96,1.0, September 2015,2015-09-11
Thameside,932,932,1232,1187,1.27,1.0, September 2015,2015-09-11
Thorn Cross,381,381,381,376,0.99,1.0, September 2015,2015-09-11
Usk / Prescoed,378,378,506,501,1.33,1.0, September 2015,2015-09-11
Wakefield,750,731,731,726,0.99,0.97, September 2015,2015-09-11
Wandsworth,963,943,1628,1578,1.67,0.98, September 2015,2015-09-11
Warren Hill,257,240,240,175,0.73,0.93, September 2015,2015-09-11
Wayland,958,932,1010,1005,1.08,0.97, September 2015,2015-09-11
Wealstun,810,810,833,825,1.02,1.0, September 2015,2015-09-11
Werrington,142,142,142,113,0.8,1.0, September 2015,2015-09-11
Wetherby,396,336,336,287,0.85,0.85, September 2015,2015-09-11
Whatton,775,769,841,839,1.09,0.99, September 2015,2015-09-11
Whitemoor,473,458,458,457,1.0,0.97, September 2015,2015-09-11
Winchester,469,469,690,674,1.44,1.0, September 2015,2015-09-11
Woodhill,660,568,727,696,1.23,0.86, September 2015,2015-09-11
Wormwood Scrubs,1156,1156,1279,1261,1.09,1.0, September 2015,2015-09-11
Wymott,1102,1102,1171,1148,1.04,1.0, September 2015,2015-09-11
Dover (IRC),401,401,401,233,0.58,1.0, September 2015,2015-09-11
Morton Hall (IRC),392,392,392,373,0.95,1.0, September 2015,2015-09-11
Verne (IRC),570,570,580,471,0.83,1.0, September 2015,2015-09-11
Altcourse,794,794,1033,1017,1.28,1.0, February 2016,2016-02-11
Ashfield,408,408,400,396,0.97,1.0, February 2016,2016-02-11
Askham Grange,150,126,128,93,0.74,0.84, February 2016,2016-02-11
Aylesbury,410,410,444,438,1.07,1.0, February 2016,2016-02-11
Bedford,322,322,506,466,1.45,1.0, February 2016,2016-02-11
Belmarsh,781,781,938,873,1.12,1.0, February 2016,2016-02-11
Birmingham,1093,1093,1450,1451,1.33,1.0, February 2016,2016-02-11
Brinsford,545,423,455,332,0.78,0.78, February 2016,2016-02-11
Bristol,425,407,614,538,1.32,0.96, February 2016,2016-02-11
Brixton,528,528,810,806,1.53,1.0, February 2016,2016-02-11
Bronzefield,527,527,527,465,0.88,1.0, February 2016,2016-02-11
Buckley Hall,409,409,455,453,1.11,1.0, February 2016,2016-02-11
Bullingdon,869,869,1114,1092,1.26,1.0, February 2016,2016-02-11
Bure,604,604,643,637,1.05,1.0, February 2016,2016-02-11
Cardiff,539,539,820,770,1.43,1.0, February 2016,2016-02-11
Channings Wood,698,698,724,705,1.01,1.0, February 2016,2016-02-11
Chelmsford,551,551,745,710,1.29,1.0, February 2016,2016-02-11
Coldingley,493,493,521,513,1.04,1.0, February 2016,2016-02-11
Cookham Wood,188,188,188,139,0.74,1.0, February 2016,2016-02-11
Dartmoor,642,640,640,635,0.99,1.0, February 2016,2016-02-11
Deerbolt,513,513,513,397,0.77,1.0, February 2016,2016-02-11
Doncaster,738,738,1045,1006,1.36,1.0, February 2016,2016-02-11
Dovegate,1064,1060,1133,1102,1.04,1.0, February 2016,2016-02-11
Drake Hall,340,340,340,322,0.95,1.0, February 2016,2016-02-11
Durham,595,595,996,928,1.56,1.0, February 2016,2016-02-11
East Sutton Park,100,100,100,99,0.99,1.0, February 2016,2016-02-11
Eastwood Park,410,315,363,353,1.12,0.77, February 2016,2016-02-11
Elmley (Sheppey),943,943,1102,1103,1.17,1.0, February 2016,2016-02-11
Erlestoke,494,494,524,520,1.05,1.0, February 2016,2016-02-11
Exeter,326,318,561,506,1.59,0.98, February 2016,2016-02-11
Featherstone,671,671,703,697,1.04,1.0, February 2016,2016-02-11
Feltham,768,552,552,514,0.93,0.72, February 2016,2016-02-11
Ford,521,506,524,481,0.95,0.97, February 2016,2016-02-11
Forest Bank,1064,1064,1460,1420,1.33,1.0, February 2016,2016-02-11
Foston Hall,303,303,345,314,1.04,1.0, February 2016,2016-02-11
Frankland,859,844,844,793,0.94,0.98, February 2016,2016-02-11
Full Sutton,606,606,626,581,0.96,1.0, February 2016,2016-02-11
Garth,810,810,845,831,1.03,1.0, February 2016,2016-02-11
Gartree,708,708,708,704,0.99,1.0, February 2016,2016-02-11
Glen Parva,637,519,648,512,0.99,0.81, February 2016,2016-02-11
Grendon / Springhill,586,568,568,536,0.94,0.97, February 2016,2016-02-11
Guys Marsh,518,518,579,573,1.11,1.0, February 2016,2016-02-11
Hatfield,390,338,338,325,0.96,0.87, February 2016,2016-02-11
Haverigg,622,622,654,625,1.0,1.0, February 2016,2016-02-11
Hewell,1018,1018,1279,1248,1.23,1.0, February 2016,2016-02-11
High Down,999,999,1203,1178,1.18,1.0, February 2016,2016-02-11
Highpoint (North and South),1299,1295,1321,1309,1.01,1.0, February 2016,2016-02-11
Hindley,532,492,540,494,1.0,0.92, February 2016,2016-02-11
Hollesley Bay,437,424,424,420,0.99,0.97, February 2016,2016-02-11
Holloway,540,533,591,451,0.85,0.99, February 2016,2016-02-11
Holme House,1036,1036,1230,1204,1.16,1.0, February 2016,2016-02-11
Hull,723,723,1056,994,1.37,1.0, February 2016,2016-02-11
Humber,947,947,1062,1039,1.1,1.0, February 2016,2016-02-11
Huntercombe,370,307,430,425,1.38,0.83, February 2016,2016-02-11
Isis,478,478,628,625,1.31,1.0, February 2016,2016-02-11
Isle of Wight,1068,976,1096,1083,1.11,0.91, February 2016,2016-02-11
Kennet,175,175,342,337,1.93,1.0, February 2016,2016-02-11
Kirkham,657,657,657,582,0.89,1.0, February 2016,2016-02-11
Kirklevington Grange,283,283,283,258,0.91,1.0, February 2016,2016-02-11
Lancaster Farms,495,495,549,545,1.1,1.0, February 2016,2016-02-11
Leeds,669,669,1219,1107,1.65,1.0, February 2016,2016-02-11
Leicester,214,214,411,349,1.63,1.0, February 2016,2016-02-11
Lewes,617,617,692,628,1.02,1.0, February 2016,2016-02-11
Leyhill,515,515,515,484,0.94,1.0, February 2016,2016-02-11
Lincoln,408,403,729,580,1.44,0.99, February 2016,2016-02-11
Lindholme,924,916,1002,999,1.09,0.99, February 2016,2016-02-11
Littlehey,1154,1153,1219,1216,1.05,1.0, February 2016,2016-02-11
Liverpool,1173,1101,1386,1169,1.06,0.94, February 2016,2016-02-11
Long Lartin,625,625,625,543,0.87,1.0, February 2016,2016-02-11
Low Newton,314,306,344,272,0.89,0.97, February 2016,2016-02-11
Lowdham Grange,900,900,920,921,1.02,1.0, February 2016,2016-02-11
Maidstone,565,565,600,592,1.05,1.0, February 2016,2016-02-11
Manchester,965,965,1286,1043,1.08,1.0, February 2016,2016-02-11
Moorland,943,943,1006,1008,1.07,1.0, February 2016,2016-02-11
Mount,1008,1003,1018,1009,1.01,1.0, February 2016,2016-02-11
New Hall,392,371,425,399,1.08,0.95, February 2016,2016-02-11
North Sea Camp,420,420,420,345,0.82,1.0, February 2016,2016-02-11
Northumberland,1348,1348,1348,1331,0.99,1.0, February 2016,2016-02-11
Norwich,626,626,775,752,1.2,1.0, February 2016,2016-02-11
Nottingham,723,723,1060,1040,1.44,1.0, February 2016,2016-02-11
Oakwood,1605,1605,1605,1594,0.99,1.0, February 2016,2016-02-11
Onley,742,742,742,741,1.0,1.0, February 2016,2016-02-11
Parc,1557,1557,1723,1673,1.07,1.0, February 2016,2016-02-11
Pentonville,906,906,1316,1284,1.42,1.0, February 2016,2016-02-11
Peterborough (Male & Female),1132,1119,1300,1239,1.11,0.99, February 2016,2016-02-11
Portland,464,464,531,499,1.08,1.0, February 2016,2016-02-11
Preston,455,455,841,743,1.63,1.0, February 2016,2016-02-11
Ranby,893,832,1038,1035,1.24,0.93, February 2016,2016-02-11
Risley,1050,1050,1115,1096,1.04,1.0, February 2016,2016-02-11
Rochester,802,754,754,751,1.0,0.94, February 2016,2016-02-11
Rye Hill,600,600,625,625,1.04,1.0, February 2016,2016-02-11
Send,282,282,282,272,0.96,1.0, February 2016,2016-02-11
Stafford,741,741,751,750,1.01,1.0, February 2016,2016-02-11
Standford Hill (Sheppey),464,464,464,455,0.98,1.0, February 2016,2016-02-11
Stocken,768,648,713,706,1.09,0.84, February 2016,2016-02-11
Stoke Heath,662,662,782,773,1.17,1.0, February 2016,2016-02-11
Styal,479,470,485,452,0.96,0.98, February 2016,2016-02-11
Sudbury,581,581,581,445,0.77,1.0, February 2016,2016-02-11
Swaleside (Sheppey),1112,1112,1112,1102,0.99,1.0, February 2016,2016-02-11
Swansea,268,268,500,414,1.54,1.0, February 2016,2016-02-11
Swinfen Hall,604,604,624,611,1.01,1.0, February 2016,2016-02-11
Thameside,932,932,1232,1209,1.3,1.0, February 2016,2016-02-11
Thorn Cross,381,381,381,356,0.93,1.0, February 2016,2016-02-11
Usk / Prescoed,378,378,536,514,1.36,1.0, February 2016,2016-02-11
Wakefield,750,732,732,725,0.99,0.98, February 2016,2016-02-11
Wandsworth,963,943,1628,1582,1.68,0.98, February 2016,2016-02-11
Warren Hill,257,257,257,204,0.79,1.0, February 2016,2016-02-11
Wayland,958,914,992,983,1.08,0.95, February 2016,2016-02-11
Wealstun,810,808,828,828,1.02,1.0, February 2016,2016-02-11
Werrington,118,118,142,110,0.93,1.0, February 2016,2016-02-11
Wetherby,408,336,336,270,0.8,0.82, February 2016,2016-02-11
Whatton,775,769,841,839,1.09,0.99, February 2016,2016-02-11
Whitemoor,473,458,458,449,0.98,0.97, February 2016,2016-02-11
Winchester,469,469,690,677,1.44,1.0, February 2016,2016-02-11
Woodhill,660,568,727,685,1.21,0.86, February 2016,2016-02-11
Wormwood Scrubs,1156,1156,1279,1277,1.1,1.0, February 2016,2016-02-11
Wymott,1099,1099,1169,1150,1.05,1.0, February 2016,2016-02-11
Morton Hall (IRC),392,392,392,376,0.96,1.0, February 2016,2016-02-11
Verne (IRC),570,570,580,509,0.89,1.0, February 2016,2016-02-11
Altcourse,794,794,1033,1000,1.26,1.0, May 2016,2016-05-11
Ashfield,408,408,400,400,0.98,1.0, May 2016,2016-05-11
Askham Grange,150,126,128,120,0.95,0.84, May 2016,2016-05-11
Aylesbury,410,410,444,434,1.06,1.0, May 2016,2016-05-11
Bedford,322,321,493,476,1.48,1.0, May 2016,2016-05-11
Belmarsh,781,781,938,827,1.06,1.0, May 2016,2016-05-11
Birmingham,1093,1093,1450,1457,1.33,1.0, May 2016,2016-05-11
Brinsford,545,423,455,349,0.83,0.78, May 2016,2016-05-11
Bristol,425,407,614,549,1.35,0.96, May 2016,2016-05-11
Brixton,528,528,810,762,1.44,1.0, May 2016,2016-05-11
Bronzefield,527,527,572,545,1.03,1.0, May 2016,2016-05-11
Buckley Hall,409,409,455,447,1.09,1.0, May 2016,2016-05-11
Bullingdon,869,869,1114,1111,1.28,1.0, May 2016,2016-05-11
Bure,604,604,643,637,1.05,1.0, May 2016,2016-05-11
Cardiff,539,539,820,765,1.42,1.0, May 2016,2016-05-11
Channings Wood,698,698,724,706,1.01,1.0, May 2016,2016-05-11
Chelmsford,551,551,745,703,1.28,1.0, May 2016,2016-05-11
Coldingley,493,493,521,508,1.03,1.0, May 2016,2016-05-11
Cookham Wood,188,188,188,140,0.74,1.0, May 2016,2016-05-11
Dartmoor,642,640,640,631,0.99,1.0, May 2016,2016-05-11
Deerbolt,513,513,513,391,0.76,1.0, May 2016,2016-05-11
Doncaster,738,678,1045,1008,1.49,0.92, May 2016,2016-05-11
Dovegate,1064,1060,1133,1105,1.04,1.0, May 2016,2016-05-11
Downview,355,130,130,87,0.67,0.37, May 2016,2016-05-11
Drake Hall,340,340,340,334,0.98,1.0, May 2016,2016-05-11
Durham,595,595,996,935,1.57,1.0, May 2016,2016-05-11
East Sutton Park,100,100,100,98,0.98,1.0, May 2016,2016-05-11
Eastwood Park,393,356,404,363,1.02,0.91, May 2016,2016-05-11
Elmley (Sheppey),943,943,1102,1090,1.16,1.0, May 2016,2016-05-11
Erlestoke,494,494,524,522,1.06,1.0, May 2016,2016-05-11
Exeter,326,318,561,507,1.59,0.98, May 2016,2016-05-11
Featherstone,671,671,703,689,1.03,1.0, May 2016,2016-05-11
Feltham,768,555,555,486,0.88,0.72, May 2016,2016-05-11
Ford,521,506,524,486,0.96,0.97, May 2016,2016-05-11
